,F_FUND_CODE,F_SETUP_DATE,F_STYLE_CODE,F_STYLE_NAME
0,690008,2012/3/8,A0201,纯指数型
1,1342,2015/5/29,B01,混合->灵活配置型
2,1443,2015/12/2,B01,混合->灵活配置型
3,162714,2012/5/7,A0201,纯指数型
4,40028,2012/5/9,C04,债券->理财债基
5,5414,2017/12/28,A0201,纯指数型
6,5415,2017/12/28,A0201,纯指数型
7,40029,2012/5/9,C04,债券->理财债基
8,519034,2012/5/25,A0201,纯指数型
9,3863,2016/12/7,C01,债券->纯债型
10,3864,2016/12/7,C01,债券->纯债型
11,3754,2016/12/23,B01,混合->灵活配置型
12,3755,2016/12/23,B01,混合->灵活配置型
13,1832,2018/1/10,B01,混合->灵活配置型
14,3445,2016/11/11,C01,债券->纯债型
16,1369,2015/6/10,C01,债券->纯债型
17,2197,2015/12/30,B04,混合->保本型
18,1877,2016/1/20,A0101,积极股票型
19,1954,2016/3/4,B01,混合->灵活配置型
21,2300,2016/2/3,A0101,积极股票型
22,2263,2016/2/23,B01,混合->灵活配置型
24,960019,2015/12/31,B02,混合->积极配置型
25,993600,2015/12/25,B02,混合->积极配置型
26,5256,2018/1/12,B01,混合->灵活配置型
27,4076,2017/1/23,B02,混合->积极配置型
29,4154,2016/12/29,B01,混合->灵活配置型
30,1720,2016/12/29,B03,混合->保守配置型
31,5450,2018/1/17,B01,混合->灵活配置型
33,4072,2017/1/20,D,货币基金
34,4073,2017/1/20,D,货币基金
35,4276,2017/3/23,B03,混合->保守配置型
36,4277,2017/3/23,B03,混合->保守配置型
38,3934,2017/6/16,C01,债券->纯债型
39,3935,2017/6/16,C01,债券->纯债型
40,519753,2015/5/29,B04,混合->保本型
41,1321,2015/5/21,B01,混合->灵活配置型
42,340005,2006/4/27,D,货币基金
43,163113,2014/3/13,A0201,纯指数型
44,3932,2017/6/1,C01,债券->纯债型
45,519999,2004/3/19,D,货币基金
46,4942,2018/2/6,B01,混合->灵活配置型
47,760,2015/6/19,D,货币基金
48,5161,2017/12/27,A0101,积极股票型
49,4943,2018/2/6,B01,混合->灵活配置型
50,5459,2018/2/6,B01,混合->灵活配置型
51,2991,2016/7/15,C01,债券->纯债型
52,2917,2016/6/30,D,货币基金
53,519324,2016/7/11,C01,债券->纯债型
54,2101,2015/11/19,B01,混合->灵活配置型
55,519325,2016/7/11,C01,债券->纯债型
56,2868,2016/6/28,C01,债券->纯债型
57,2286,2015/12/30,E,QDII
58,1868,2015/9/28,C02,债券->一级债基
59,2927,2016/7/5,C01,债券->纯债型
60,2311,2015/12/31,A0202,增强指数型
61,2928,2016/7/5,C01,债券->纯债型
62,2310,2015/12/31,A0202,增强指数型
63,162717,2016/12/19,B01,混合->灵活配置型
64,511950,2016/11/22,D,货币基金
65,168301,2016/12/21,B01,混合->灵活配置型
66,395,2013/11/22,C01,债券->纯债型
67,502037,2015/6/29,A0201,纯指数型
68,502038,2015/6/29,A0201,纯指数型
69,150315,2015/6/15,A0201,纯指数型
70,150316,2015/6/15,A0201,纯指数型
71,510360,2015/8/20,A0201,纯指数型
72,167501,2015/7/24,C02,债券->一级债基
73,511980,2015/10/16,D,货币基金
74,2341,2016/3/9,C01,债券->纯债型
75,2283,2016/3/29,C01,债券->纯债型
76,943,2015/12/2,C01,债券->纯债型
77,2602,2017/3/24,B03,混合->保守配置型
78,5047,2017/12/26,B03,混合->保守配置型
79,1450,2015/9/30,C03,债券->二级债基
80,5048,2017/12/27,B03,混合->保守配置型
81,519137,2017/7/28,C01,债券->纯债型
82,1791,2015/9/23,B05,混合->特定策略型
83,2111,2016/12/19,B01,混合->灵活配置型
84,1679,2015/9/10,B01,混合->灵活配置型
85,519138,2017/7/28,C01,债券->纯债型
86,489,2014/8/12,C01,债券->纯债型
87,240018,2011/4/27,C02,债券->一级债基
88,4171,2017/1/25,B03,混合->保守配置型
89,681,2014/6/26,D,货币基金
90,240012,2009/2/17,C03,债券->二级债基
91,200016,2012/8/2,B04,混合->保本型
92,4626,2017/6/16,C03,债券->二级债基
93,1696,2017/8/3,A0101,积极股票型
94,2922,2016/7/19,C03,债券->二级债基
95,2924,2016/8/24,C03,债券->二级债基
96,2574,2016/8/24,B01,混合->灵活配置型
97,3317,2016/12/7,D,货币基金
98,5059,2017/11/2,B03,混合->保守配置型
100,2980,2016/9/7,A0101,积极股票型
102,1971,2015/11/13,C01,债券->纯债型
103,3776,2016/12/6,C01,债券->纯债型
104,2413,2016/2/4,B01,混合->灵活配置型
105,4326,2017/3/7,B03,混合->保守配置型
106,2409,2016/2/23,B01,混合->灵活配置型
107,519989,2008/12/29,C03,债券->二级债基
108,1846,2015/11/26,B03,混合->保守配置型
109,2041,2015/11/27,B01,混合->灵活配置型
110,583001,2010/5/11,D,货币基金
111,1228,2015/4/28,B01,混合->灵活配置型
112,4083,2017/3/3,B03,混合->保守配置型
113,519961,2015/6/12,B01,混合->灵活配置型
114,917,2015/6/25,D,货币基金
115,4084,2017/3/3,B03,混合->保守配置型
116,2368,2016/2/3,B01,混合->灵活配置型
117,519957,2015/7/6,B01,混合->灵活配置型
118,202007,2007/11/9,B02,混合->积极配置型
119,184719,1993/2/5,A0101,积极股票型
120,4301,2017/3/8,B03,混合->保守配置型
121,4302,2017/3/8,B03,混合->保守配置型
122,2005,2017/3/23,B03,混合->保守配置型
123,500013,1992/4/29,A0101,积极股票型
124,161607,2005/5/12,A0202,增强指数型
125,202011,2008/6/18,B02,混合->积极配置型
126,163801,2005/1/4,B02,混合->积极配置型
127,202015,2009/3/25,A0201,纯指数型
128,510050,2004/12/30,A0201,纯指数型
129,202302,2009/7/22,D,货币基金
130,150282,2015/6/16,A0201,纯指数型
131,150325,2015/7/23,A0201,纯指数型
132,150326,2015/7/23,A0201,纯指数型
133,159946,2015/7/1,A0201,纯指数型
134,150309,2015/6/26,A0201,纯指数型
135,150310,2015/6/26,A0201,纯指数型
136,150311,2015/6/26,A0201,纯指数型
137,3410,2016/10/13,C03,债券->二级债基
138,159945,2015/6/25,A0201,纯指数型
139,159944,2015/6/25,A0201,纯指数型
140,3309,2016/10/27,C01,债券->纯债型
141,3310,2016/10/27,C01,债券->纯债型
142,562,2014/7/25,C01,债券->纯债型
143,162715,2013/5/8,C01,债券->纯债型
144,23,2013/5/3,C01,债券->纯债型
145,22,2013/5/3,C01,债券->纯债型
146,150127,2013/3/1,C01,债券->纯债型
147,150241,2015/4/30,A0201,纯指数型
148,150242,2015/4/30,A0201,纯指数型
149,1691,2015/9/30,E,QDII
150,510560,2015/5/29,A0201,纯指数型
151,159943,2015/6/5,A0201,纯指数型
152,629,2014/5/30,C01,债券->纯债型
153,400023,2014/5/21,B01,混合->灵活配置型
154,2998,2016/8/30,C03,债券->二级债基
155,1920,2015/11/30,C03,债券->二级债基
156,2097,2015/12/2,B01,混合->灵活配置型
157,2092,2015/11/24,B01,混合->灵活配置型
158,2679,2016/4/26,D,货币基金
159,2680,2016/4/26,D,货币基金
160,3436,2016/12/21,B01,混合->灵活配置型
161,2546,2016/4/29,D,货币基金
162,675081,2016/11/17,C03,债券->二级债基
163,1198,2015/4/21,B01,混合->灵活配置型
164,4380,2017/2/28,B03,混合->保守配置型
165,2266,2016/1/26,C01,债券->纯债型
166,2722,2016/4/26,D,货币基金
167,2704,2016/6/3,C01,债券->纯债型
168,2705,2016/6/3,C01,债券->纯债型
169,4911,2017/7/20,C01,债券->纯债型
170,2033,2016/9/22,B01,混合->灵活配置型
171,1303,2015/5/21,B01,混合->灵活配置型
172,2323,2016/4/1,B01,混合->灵活配置型
173,519020,2012/12/24,B01,混合->灵活配置型
174,470010,2012/9/18,C03,债券->二级债基
175,3995,2017/6/21,C01,债券->纯债型
177,2430,2016/8/11,B01,混合->灵活配置型
178,2434,2016/8/1,B01,混合->灵活配置型
179,470011,2012/9/18,C03,债券->二级债基
180,165809,2014/5/9,C01,债券->纯债型
181,1067,2015/2/25,B01,混合->灵活配置型
182,2783,2016/9/23,B03,混合->保守配置型
183,1172,2015/4/14,B01,混合->灵活配置型
184,510580,2015/8/27,A0201,纯指数型
185,3879,2017/6/19,C04,债券->理财债基
186,622,2014/5/7,C01,债券->纯债型
187,3490,2016/10/25,B01,混合->灵活配置型
188,163005,2013/2/4,C02,债券->一级债基
189,511920,2016/3/14,D,货币基金
190,501015,2016/3/9,B01,混合->灵活配置型
191,4010,2016/12/22,B01,混合->灵活配置型
192,4036,2016/12/29,B01,混合->灵活配置型
193,3752,2016/12/23,D,货币基金
194,161033,2016/2/16,A0201,纯指数型
195,3596,2017/1/13,B01,混合->灵活配置型
196,3889,2017/1/13,B01,混合->灵活配置型
197,2502,2016/6/21,B01,混合->灵活配置型
198,2503,2016/6/21,B01,混合->灵活配置型
199,3767,2016/11/25,C01,债券->纯债型
200,1638,2015/7/6,A0101,积极股票型
201,4268,2017/4/26,B03,混合->保守配置型
202,4314,2017/3/13,B01,混合->灵活配置型
203,152,2013/7/23,C01,债券->纯债型
204,3504,2017/1/18,C03,债券->二级债基
205,160138,2017/4/26,E,QDII
206,3156,2016/8/24,C01,债券->纯债型
207,3454,2016/10/20,C01,债券->纯债型
208,160119,2009/9/25,A0201,纯指数型
209,4315,2017/3/13,B01,混合->灵活配置型
210,3880,2017/3/23,C04,债券->理财债基
211,1700,2016/6/3,B01,混合->灵活配置型
212,2769,2016/5/16,B01,混合->灵活配置型
213,267,2013/8/21,C01,债券->纯债型
214,2763,2016/6/15,C01,债券->纯债型
215,2764,2016/6/15,C01,债券->纯债型
216,511670,2017/8/11,D,货币基金
217,161128,2016/12/13,E,QDII
218,2923,2016/6/28,B01,混合->灵活配置型
219,2948,2016/8/9,C01,债券->纯债型
220,2949,2016/8/9,C01,债券->纯债型
221,2776,2016/7/15,B04,混合->保本型
222,2777,2016/7/15,B04,混合->保本型
223,161127,2016/12/13,E,QDII
224,1477,2015/6/19,D,货币基金
225,1478,2015/6/19,D,货币基金
226,1491,2015/6/19,B01,混合->灵活配置型
227,1519,2015/7/2,B01,混合->灵活配置型
228,1547,2015/7/8,B01,混合->灵活配置型
229,519089,2008/7/25,B02,混合->积极配置型
230,1179,2015/4/29,B01,混合->灵活配置型
231,1304,2015/5/14,B01,混合->灵活配置型
232,1290,2015/5/14,B03,混合->保守配置型
233,1276,2015/5/26,B01,混合->灵活配置型
234,150072,2012/3/29,A0101,积极股票型
235,1272,2015/5/7,B01,混合->灵活配置型
236,1929,2015/10/30,D,货币基金
237,620,2015/2/5,D,货币基金
238,150031,2011/3/17,A0201,纯指数型
239,4784,2017/9/20,A0102,稳健股票型
240,1331,2015/5/25,B01,混合->灵活配置型
242,150044,2011/9/1,C03,债券->二级债基
243,162206,2005/11/10,D,货币基金
244,519588,2006/1/20,D,货币基金
245,530003,2006/9/8,B02,混合->积极配置型
246,310338,2006/7/7,D,货币基金
247,163803,2006/3/17,B02,混合->积极配置型
248,450003,2007/3/22,B02,混合->积极配置型
249,460002,2007/5/29,B01,混合->灵活配置型
250,2578,2016/9/7,C01,债券->纯债型
251,1259,2015/5/21,B01,混合->灵活配置型
252,2609,2016/4/20,C03,债券->二级债基
253,2812,2016/7/15,C01,债券->纯债型
254,3882,2017/1/11,B01,混合->灵活配置型
255,3883,2017/1/11,B01,混合->灵活配置型
256,1019,2015/2/12,C01,债券->纯债型
257,273,2013/9/11,B01,混合->灵活配置型
258,721,2014/8/6,D,货币基金
259,722,2014/8/6,D,货币基金
260,415,2014/9/2,C01,债券->纯债型
261,416,2014/9/2,C01,债券->纯债型
262,400006,2014/10/22,D,货币基金
263,947,2015/2/10,C01,债券->纯债型
264,5084,2017/11/1,B02,混合->积极配置型
265,875,2014/12/2,C03,债券->二级债基
266,876,2014/12/2,C03,债券->二级债基
267,540,2014/2/17,D,货币基金
268,397,2013/12/13,D,货币基金
269,301,2013/9/16,D,货币基金
270,300,2013/9/16,D,货币基金
271,1318,2015/5/26,B01,混合->灵活配置型
272,210007,2011/6/1,B01,混合->灵活配置型
273,1715,2016/10/10,B01,混合->灵活配置型
274,305,2013/12/5,C01,债券->纯债型
275,270,2013/9/3,B04,混合->保本型
276,120,2013/6/7,B02,混合->积极配置型
277,2586,2017/2/22,C01,债券->纯债型
278,56,2013/6/14,B01,混合->灵活配置型
279,510610,2013/3/28,A0201,纯指数型
280,64,2013/6/25,C01,债券->纯债型
281,150116,2013/1/18,C01,债券->纯债型
282,660015,2012/11/14,B02,混合->积极配置型
283,531028,2012/12/20,C04,债券->理财债基
284,530028,2012/12/20,C04,债券->理财债基
285,530020,2012/5/29,C03,债券->二级债基
286,531020,2012/5/29,C03,债券->二级债基
287,166801,2012/3/8,B01,混合->灵活配置型
288,510310,2013/3/6,A0201,纯指数型
289,511010,2013/3/5,C01,债券->纯债型
290,67,2013/4/18,C03,债券->二级债基
291,68,2013/4/18,C03,债券->二级债基
292,53,2013/5/3,C01,债券->纯债型
293,3165,2016/8/19,B01,混合->灵活配置型
294,150190,2014/9/11,A0201,纯指数型
295,150191,2014/9/11,A0201,纯指数型
296,3238,2017/3/2,B01,混合->灵活配置型
297,4066,2017/3/16,C01,债券->纯债型
298,3398,2016/11/4,D,货币基金
299,150203,2014/12/11,A0201,纯指数型
300,20035,2013/3/7,C01,债券->纯债型
301,161811,2009/10/14,A0201,纯指数型
302,2732,2016/7/5,B01,混合->灵活配置型
303,3011,2017/3/29,C01,债券->纯债型
304,2648,2016/6/16,B04,混合->保本型
305,502005,2015/7/8,A0201,纯指数型
306,511,2014/2/17,B01,混合->灵活配置型
307,339,2014/2/28,B02,混合->积极配置型
308,524,2014/3/14,A0101,积极股票型
309,466,2014/3/21,C03,债券->二级债基
310,240021,2012/6/12,D,货币基金
311,240022,2012/8/21,B02,混合->积极配置型
312,754,2014/9/17,B05,混合->特定策略型
313,110030,2012/7/5,A0202,增强指数型
314,510430,2012/8/23,A0201,纯指数型
315,180033,2012/8/29,A0201,纯指数型
316,519985,2010/6/28,C01,债券->纯债型
317,150253,2015/6/4,A0201,纯指数型
318,150254,2015/6/4,A0201,纯指数型
319,233012,2012/8/28,C03,债券->二级债基
320,501043,2017/9/6,A0201,纯指数型
321,4450,2017/5/19,A0101,积极股票型
322,233013,2012/8/28,C03,债券->二级债基
323,206015,2012/9/3,C01,债券->纯债型
324,610007,2012/9/4,B02,混合->积极配置型
325,519039,2007/10/25,B02,混合->积极配置型
326,50116,2010/7/27,C03,债券->二级债基
327,519760,2015/11/19,B01,混合->灵活配置型
328,519647,2015/11/16,B01,混合->灵活配置型
329,519177,2015/11/20,B01,混合->灵活配置型
330,50026,2012/8/28,B02,混合->积极配置型
331,519764,2016/2/17,B01,混合->灵活配置型
332,280,2013/9/13,C01,债券->纯债型
333,2288,2016/1/29,B04,混合->保本型
334,2260,2015/12/16,D,货币基金
335,1476,2015/6/19,A0101,积极股票型
336,519640,2015/6/19,B01,混合->灵活配置型
337,519641,2015/6/19,B01,混合->灵活配置型
338,2230,2016/1/20,E,QDII
339,1956,2016/1/26,A0101,积极股票型
340,1717,2016/2/3,A0101,积极股票型
341,2296,2016/1/12,B04,混合->保本型
342,2103,2016/2/4,B01,混合->灵活配置型
343,2305,2016/2/4,B02,混合->积极配置型
344,5499,2018/2/8,B03,混合->保守配置型
345,1223,2016/1/27,A0101,积极股票型
346,1940,2016/1/29,B01,混合->灵活配置型
347,2145,2015/12/8,B01,混合->灵活配置型
348,1975,2016/3/15,A0101,积极股票型
349,161615,2012/5/2,D,货币基金
350,164811,2012/10/25,A0201,纯指数型
351,360013,2011/5/16,C03,债券->二级债基
352,360014,2011/5/16,C03,债券->二级债基
353,485114,2011/8/10,C03,债券->二级债基
354,485014,2011/8/10,C03,债券->二级债基
355,630008,2010/11/9,B01,混合->灵活配置型
356,161812,2010/5/7,A0201,纯指数型
357,350002,2005/1/12,B01,混合->灵活配置型
358,4157,2017/3/10,B01,混合->灵活配置型
359,630001,2007/5/15,B02,混合->积极配置型
360,4102,2017/2/10,C01,债券->纯债型
361,400005,2006/8/2,D,货币基金
362,350004,2006/7/5,D,货币基金
363,1146,2015/3/31,B01,混合->灵活配置型
364,1164,2015/4/7,B01,混合->灵活配置型
365,2896,2016/6/17,C03,债券->二级债基
366,2897,2016/6/17,C03,债券->二级债基
367,3002,2016/8/4,C04,债券->理财债基
368,2952,2016/8/9,A0101,积极股票型
369,2302,2016/8/5,D,货币基金
370,50014,2010/6/1,B02,混合->积极配置型
371,2568,2016/4/6,C01,债券->纯债型
372,1173,2015/4/13,B01,混合->灵活配置型
373,400003,2006/1/11,B01,混合->灵活配置型
374,161608,2006/1/19,D,货币基金
375,1473,2015/7/29,A0101,积极股票型
376,1302,2015/7/9,B01,混合->灵活配置型
377,1761,2015/12/30,B01,混合->灵活配置型
378,1762,2015/12/30,B01,混合->灵活配置型
379,2207,2015/12/2,B01,混合->灵活配置型
380,1631,2015/7/29,A0201,纯指数型
381,1629,2015/7/29,A0201,纯指数型
382,1630,2015/7/29,A0201,纯指数型
383,1632,2015/7/29,A0201,纯指数型
384,989,2015/4/15,E,QDII
385,2698,2016/5/9,C01,债券->纯债型
386,4366,2017/2/28,C01,债券->纯债型
387,4734,2017/12/1,B01,混合->灵活配置型
388,1663,2015/8/6,A0101,积极股票型
389,1615,2015/9/2,B03,混合->保守配置型
390,960006,2015/7/24,B02,混合->积极配置型
391,1086,2015/8/31,C03,债券->二级债基
392,1087,2015/8/31,C03,债券->二级债基
393,2528,2016/8/30,C01,债券->纯债型
394,2529,2016/8/30,C01,债券->纯债型
395,1854,2015/9/21,C03,债券->二级债基
396,1855,2015/9/21,C03,债券->二级债基
397,213006,2009/3/17,B01,混合->灵活配置型
399,290007,2009/7/29,C02,债券->一级债基
400,162213,2010/4/23,A0201,纯指数型
401,280,2013/9/13,C01,债券->纯债型
402,690002,2009/7/21,C03,债券->二级债基
403,70013,2008/5/27,B02,混合->积极配置型
404,160606,2005/4/12,D,货币基金
405,162210,2008/9/26,C03,债券->二级债基
406,50014,2010/6/1,B02,混合->积极配置型
407,1329,2015/5/25,B01,混合->灵活配置型
408,1325,2015/5/25,B01,混合->灵活配置型
409,1327,2015/5/25,B01,混合->灵活配置型
410,110019,2009/12/1,A0201,纯指数型
411,450005,2008/10/24,C03,债券->二级债基
412,90015,2011/6/14,B02,混合->积极配置型
413,70037,2012/12/11,C01,债券->纯债型
414,675021,2012/12/25,C01,债券->纯债型
415,210012,2012/12/7,D,货币基金
416,40038,2012/11/26,D,货币基金
417,497,2016/1/18,C01,债券->纯债型
418,118002,2012/6/4,E,QDII
419,1057,2012/10/24,C04,债券->理财债基
420,110031,2012/8/21,E,QDII
421,690010,2012/12/18,D,货币基金
422,217019,2011/6/27,A0201,纯指数型
423,261001,2011/3/25,C02,债券->一级债基
424,370021,2012/6/25,C02,债券->一级债基
425,516,2017/8/30,C01,债券->纯债型
426,40033,2012/6/14,C04,债券->理财债基
427,270042,2012/8/15,E,QDII
428,4708,2017/9/15,C03,债券->二级债基
429,519652,2015/4/22,B01,混合->灵活配置型
430,1582,2015/11/30,B01,混合->灵活配置型
431,487,2014/6/27,C04,债券->理财债基
432,450018,2012/9/11,C01,债券->纯债型
433,40009,2008/4/30,C02,债券->一级债基
434,110017,2008/3/19,C02,债券->一级债基
435,485105,2007/5/11,C02,债券->一级债基
436,481004,2006/12/6,B02,混合->积极配置型
437,519680,2008/3/31,C02,债券->一级债基
438,616,2014/6/11,C03,债券->二级债基
439,626,2014/6/18,D,货币基金
440,644,2014/6/18,D,货币基金
441,2819,2016/11/10,B01,混合->灵活配置型
442,260116,2011/12/20,B02,混合->积极配置型
443,2677,2016/4/22,C03,债券->二级债基
444,166006,2009/12/30,B02,混合->积极配置型
445,3097,2016/9/13,C01,债券->纯债型
446,5454,2018/1/19,B01,混合->灵活配置型
447,2779,2016/11/11,B01,混合->灵活配置型
448,240019,2011/8/9,A0201,纯指数型
449,160618,2014/12/8,C01,债券->纯债型
450,5379,2018/1/19,B01,混合->灵活配置型
451,5521,2018/1/19,B02,混合->积极配置型
452,1744,2016/9/27,B01,混合->灵活配置型
453,2736,2016/11/11,C01,债券->纯债型
454,2737,2016/11/11,C01,债券->纯债型
455,4141,2017/3/23,C01,债券->纯债型
456,4610,2017/8/9,C03,债券->二级债基
457,4611,2017/8/9,C03,债券->二级债基
458,519962,2015/11/26,B01,混合->灵活配置型
461,5156,2017/10/26,F,其他
462,5157,2017/10/26,F,其他
463,3005,2016/12/27,C01,债券->纯债型
464,3006,2016/12/27,C01,债券->纯债型
465,3995,2017/6/21,C01,债券->纯债型
466,3996,2017/6/21,C01,债券->纯债型
467,519171,2015/5/25,B01,混合->灵活配置型
469,161723,2015/5/20,A0201,纯指数型
470,519752,2015/5/15,B01,混合->灵活配置型
472,2435,2016/8/1,B01,混合->灵活配置型
473,2430,2016/8/11,B01,混合->灵活配置型
474,1166,2015/4/22,A0101,积极股票型
475,2431,2016/8/11,B01,混合->灵活配置型
476,2434,2016/8/1,B01,混合->灵活配置型
477,2745,2016/6/21,B04,混合->保本型
478,485118,2012/8/22,C04,债券->理财债基
479,485018,2012/8/22,C04,债券->理财债基
481,4995,2017/12/14,A0101,积极股票型
484,4551,2017/6/2,B01,混合->灵活配置型
485,4552,2017/6/2,B01,混合->灵活配置型
486,4044,2017/11/16,B01,混合->灵活配置型
487,2919,2016/8/11,B01,混合->灵活配置型
488,2860,2016/8/30,B01,混合->灵活配置型
489,1405,2015/6/5,B01,混合->灵活配置型
490,3032,2017/11/24,B01,混合->灵活配置型
491,4704,2017/6/1,C01,债券->纯债型
492,1925,2015/11/2,D,货币基金
493,1926,2015/11/2,D,货币基金
494,1873,2015/9/22,C01,债券->纯债型
495,1905,2015/11/16,B04,混合->保本型
496,1977,2015/11/16,B04,混合->保本型
497,1406,2015/6/5,B01,混合->灵活配置型
498,152,2013/7/23,C01,债券->纯债型
499,2101,2015/11/19,B01,混合->灵活配置型
500,2102,2015/11/19,B01,混合->灵活配置型
501,1031,2012/9/11,C03,债券->二级债基
502,270044,2012/9/20,C01,债券->纯债型
503,470010,2012/9/18,C03,债券->二级债基
504,690006,2012/4/25,C03,债券->二级债基
505,630007,2010/8/9,C03,债券->二级债基
506,90002,2003/6/12,C02,债券->一级债基
507,80012,2012/3/27,B02,混合->积极配置型
508,667,2014/6/26,B05,混合->特定策略型
509,942,2015/1/29,A0201,纯指数型
510,702,2014/9/29,C04,债券->理财债基
511,4534,2017/5/15,B03,混合->保守配置型
512,839,2014/11/18,C01,债券->纯债型
513,841,2014/11/26,B01,混合->灵活配置型
514,475,2014/1/27,D,货币基金
515,507,2014/3/5,B03,混合->保守配置型
517,1247,2015/4/28,B01,混合->灵活配置型
518,1180,2015/5/6,A0201,纯指数型
520,530,2014/3/20,B01,混合->灵活配置型
521,519060,2014/4/2,C01,债券->纯债型
522,367,2014/4/30,B03,混合->保守配置型
523,604,2014/4/25,D,货币基金
524,512,2014/5/19,B01,混合->灵活配置型
525,319,2014/8/6,C01,债券->纯债型
527,470014,2012/7/10,C04,债券->理财债基
529,161119,2012/11/8,C01,债券->纯债型
530,90021,2012/9/20,C04,债券->理财债基
531,70035,2012/8/29,C04,债券->理财债基
532,2286,2015/12/30,E,QDII
533,2287,2015/12/30,E,QDII
534,2594,2016/10/27,B01,混合->灵活配置型
535,4684,2017/6/8,D,货币基金
536,4701,2017/6/8,D,货币基金
537,2268,2015/12/28,C01,债券->纯债型
538,189,2016/1/13,B04,混合->保本型
539,2311,2015/12/31,A0202,增强指数型
540,2316,2015/12/31,A0202,增强指数型
541,2310,2015/12/31,A0202,增强指数型
542,2315,2015/12/31,A0202,增强指数型
543,2783,2016/9/23,B03,混合->保守配置型
544,2784,2016/9/23,B03,混合->保守配置型
545,975,2015/2/12,A0201,纯指数型
547,4915,2017/10/30,B03,混合->保守配置型
548,519781,2016/9/13,B01,混合->灵活配置型
549,71,2012/8/21,E,QDII
550,3972,2017/1/25,E,QDII
551,3973,2017/1/25,E,QDII
552,3192,2016/9/2,C01,债券->纯债型
553,3133,2016/9/5,C03,债券->二级债基
554,3134,2016/9/5,C03,债券->二级债基
555,632,2017/7/21,C01,债券->纯债型
556,168401,2016/12/30,B01,混合->灵活配置型
557,2222,2016/4/8,B01,混合->灵活配置型
558,1546,2015/9/29,C01,债券->纯债型
559,2337,2016/1/7,C01,债券->纯债型
560,1545,2015/12/2,C01,债券->纯债型
561,163411,2011/8/3,B02,混合->积极配置型
562,2195,2015/12/11,D,货币基金
563,2188,2015/12/2,C01,债券->纯债型
564,1920,2015/11/30,C03,债券->二级债基
565,2097,2015/12/2,B01,混合->灵活配置型
566,2098,2015/12/2,B01,混合->灵活配置型
567,3224,2016/9/1,B01,混合->灵活配置型
568,5085,2017/11/1,B02,混合->积极配置型
569,3225,2016/9/1,B01,混合->灵活配置型
570,963,2015/1/23,B01,混合->灵活配置型
571,4265,2017/6/28,B03,混合->保守配置型
572,1384,2015/6/25,B01,混合->灵活配置型
573,5377,2017/12/13,C01,债券->纯债型
574,2092,2015/11/24,B01,混合->灵活配置型
575,2093,2015/11/24,B01,混合->灵活配置型
576,184,2013/10/31,C03,债券->二级债基
578,1921,2015/11/30,C03,债券->二级债基
579,4510,2017/5/16,B01,混合->灵活配置型
580,4249,2017/3/16,B01,混合->灵活配置型
581,519651,2015/5/12,B01,混合->灵活配置型
582,160632,2015/4/29,A0201,纯指数型
583,1140,2015/4/17,B01,混合->灵活配置型
584,1198,2015/4/21,B01,混合->灵活配置型
585,1163,2015/4/29,A0101,积极股票型
586,1178,2015/5/18,A0101,积极股票型
587,1220,2015/5/27,B01,混合->灵活配置型
588,1240,2015/4/20,D,货币基金
589,160633,2015/5/6,A0201,纯指数型
590,70001,2002/11/5,B02,混合->积极配置型
591,2001,2003/9/5,B05,混合->特定策略型
592,501051,2017/11/30,B02,混合->积极配置型
593,70008,2005/3/18,D,货币基金
594,110007,2005/9/19,C03,债券->二级债基
595,260102,2003/10/24,D,货币基金
596,481001,2005/8/31,B02,混合->积极配置型
597,519505,2005/1/4,D,货币基金
598,889,2014/12/24,C01,债券->纯债型
599,907,2014/12/19,D,货币基金
600,2398,2016/4/13,B04,混合->保本型
601,519692,2006/10/23,B02,混合->积极配置型
602,110006,2005/2/2,D,货币基金
603,217012,2009/6/19,B02,混合->积极配置型
604,460006,2009/5/6,D,货币基金
605,1417,2015/6/18,B01,混合->灵活配置型
606,1371,2015/6/24,B01,混合->灵活配置型
607,1380,2015/5/25,B01,混合->灵活配置型
608,1381,2015/5/25,B01,混合->灵活配置型
609,1990,2016/1/13,B01,混合->灵活配置型
610,1938,2015/11/3,A0101,积极股票型
611,160640,2015/5/29,A0201,纯指数型
612,160639,2015/5/27,A0201,纯指数型
613,1912,2015/11/10,C01,债券->纯债型
614,1320,2015/5/22,B01,混合->灵活配置型
615,1537,2015/8/13,B01,混合->灵活配置型
616,3952,2017/3/20,C01,债券->纯债型
617,3953,2017/3/20,C01,债券->纯债型
618,2358,2016/3/2,B04,混合->保本型
619,5221,2017/11/2,F,其他
620,2918,2016/8/15,D,货币基金
621,5222,2017/11/2,F,其他
622,1045,2016/9/27,C03,债券->二级债基
623,1005,2015/2/11,B01,混合->灵活配置型
624,5119,2017/9/28,B01,混合->灵活配置型
625,5209,2017/12/5,A0101,积极股票型
626,5210,2017/12/5,A0101,积极股票型
627,1035,2015/1/30,C03,债券->二级债基
628,1168,2015/4/16,B01,混合->灵活配置型
629,2612,2016/9/20,B01,混合->灵活配置型
630,165315,2015/7/31,A0201,纯指数型
631,2708,2016/6/30,B02,混合->积极配置型
632,161833,2015/8/13,A0201,纯指数型
633,2957,2016/7/27,D,货币基金
634,4848,2017/11/24,B03,混合->保守配置型
635,2958,2016/7/27,D,货币基金
636,673050,2016/1/22,B01,混合->灵活配置型
